ID DGE;Nombre Playa o ZBM;Municipio;Isla;Provincia;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);Fecha de última actualización
101000100;Caleta de Fuste;Antigua;Fuerteventura;Las Palmas;Moderado;Media;Bajo;Playa;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;"600";"143";Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;27396;"28°23'43.99924200""N";"13°51'28.44354912""W";7/12/2023
101000200;El Muellito;Antigua;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;"180";"17";Callaos / Arena;Dorada;Aguas tranquilas;Semiurbana;A pie fácil / Coche;27396;"28°21'56.84131232""N";"13°52'16.33952685""W";7/12/2023
101000300;Pozo Negro;Antigua;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"310";"12";Callaos / Arena;Oscura;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;27396;"28°19'25.03355867""N";"13°53'43.87747211""W";7/12/2023
101000400;Playa de Las Marismas-La Guirra;Antigua;Fuerteventura;Las Palmas;Moderado;Media;Bajo;Playa;No;No;No;No;No;No;Si;Si;No;No;Si;Si;Si;No;Si;"852";"65";Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil / Coche;27396;"28°23'13.75170891""N";"13°51'45.43569213""W";7/12/2023
102004100;Playa del Valle/Aguas Verdes;Betancuria;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;"200";"50";Callaos / Arena;Oscura;Oleaje fuerte / Ventosa;Semiurbana;Coche;<5.000;"28°29'06.59897511""N";"14°05'40.93026419""W";7/12/2023
103006100;Playa Chica de Corralejo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;"195";"25";Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;<5.000;"28°44'19.02187832""N";"13°52'02.75319264""W";7/4/2025
103006200;Caleta de La Burra;La Oliva;Fuerteventura;Las Palmas;Bajo;Media;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"60";"20";Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil;<5.000;"28°41'54.68920818""N";"14°00'59.83191116""W";7/4/2025
103006300;Las Cucharillas;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"75";"20";Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'05.80630366""N";"14°01'04.01281155""W";7/4/2025
103006400;Caleta de El Río;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"390";"70";Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'21.22731010""N";"14°00'53.78195119""W";7/4/2025
103006500;Caleta de Punta Gorda;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"210";"50";Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'42.34902464""N";"14°00'33.95548305""W";7/4/2025
